name,assertion_sv,line_number,expected_result,code
check_reset_ld_txBuf,assert property (@(posedge clock) (reset == 0 && ld == 1) |-> txBuf == dataIn),26,PASS,"module control(clock, reset, ld, dataIn, enable, parallelOut, parallelIn, shiftLoad, txEmpty, dataRdy, bitClock, ok);
    input clock;
    input reset; //
    input ld; //
    input [7:0] dataIn; //
    output enable;
    output [7:0] parallelOut;
    input [7:0] parallelIn;
    output shiftLoad;
    input txEmpty;
    input dataRdy;
    input bitClock;
    output ok;
    reg [7:0] rxBuf;
    reg [7:0] txBuf; //
    reg shiftLoad;
    reg [3:0] freqDiv;
    initial begin
        rxBuf = 8'b10000000;
        txBuf = 8'b00000001; //
        shiftLoad = 1;
        freqDiv = 0;
    end
    always @(posedge clock) begin
        if (reset == 0) begin
            shiftLoad = 1; // 
            freqDiv = 0;
            if (ld == 1) begin //
                txBuf = dataIn; //
            end
        end else begin
            if (dataRdy == 1) begin
                rxBuf = parallelIn;
            end
            if (enable == 1 && txEmpty == 1) begin
                if (shiftLoad == 1) shiftLoad = 0;
                else shiftLoad = 1;
            end else if (ld == 1) begin
                txBuf = dataIn;
            end

            freqDiv = freqDiv + 1;
        end
    end
    assign enable = freqDiv == 7;
    assign ok = rxBuf == txBuf;
    assign parallelOut = txBuf;
endmodule"
check_reset_shiftload_not,assert property (@(posedge clock) reset == 1 |-> shiftLoad == 0),23,FAIL,"module control(clock, reset, ld, dataIn, enable, parallelOut, parallelIn, shiftLoad, txEmpty, dataRdy, bitClock, ok);
    input clock;
    input reset; //
    input ld;
    input [7:0] dataIn;
    output enable;
    output [7:0] parallelOut;
    input [7:0] parallelIn;
    output shiftLoad; //
    input txEmpty;
    input dataRdy;
    input bitClock;
    output ok;
    reg [7:0] rxBuf;
    reg [7:0] txBuf;
    reg shiftLoad;
    reg [3:0] freqDiv;
    initial begin
        rxBuf = 8'b10000000;
        txBuf = 8'b00000001;
        shiftLoad = 1; //
        freqDiv = 0;
    end 
    always @(posedge clock) begin
        if (reset == 0) begin //
            shiftLoad = 1;
            freqDiv = 0;
            if (ld == 1) begin
                txBuf = dataIn;
            end
        end else begin
            if (dataRdy == 1) begin
                rxBuf = parallelIn;
            end
            if (enable == 1 && txEmpty == 1) begin
                if (shiftLoad == 1) shiftLoad = 0;
                else shiftLoad = 1;
            end else if (ld == 1) begin
                txBuf = dataIn;
            end

            freqDiv = freqDiv + 1;
        end
    end
    assign enable = freqDiv == 7;
    assign ok = rxBuf == txBuf;
    assign parallelOut = txBuf;
endmodule"
check_reset_freqdiv_not,assert property (@(posedge clock) reset == 1 |-> freqDiv != 0),23,FAIL,"module control(clock, reset, ld, dataIn, enable, parallelOut, parallelIn, shiftLoad, txEmpty, dataRdy, bitClock, ok);
    input clock;
    input reset; //
    input ld;
    input [7:0] dataIn;
    output enable;
    output [7:0] parallelOut;
    input [7:0] parallelIn;
    output shiftLoad;
    input txEmpty;
    input dataRdy;
    input bitClock;
    output ok;
    reg [7:0] rxBuf;
    reg [7:0] txBuf;
    reg shiftLoad;
    reg [3:0] freqDiv; //
    initial begin
        rxBuf = 8'b10000000;
        txBuf = 8'b00000001;
        shiftLoad = 1;
        freqDiv = 0;
    end 
    always @(posedge clock) begin
        if (reset == 0) begin //
            shiftLoad = 1;
            freqDiv = 0; //
            if (ld == 1) begin
                txBuf = dataIn;
            end
        end else begin
            if (dataRdy == 1) begin
                rxBuf = parallelIn;
            end
            if (enable == 1 && txEmpty == 1) begin
                if (shiftLoad == 1) shiftLoad = 0;
                else shiftLoad = 1;
            end else if (ld == 1) begin
                txBuf = dataIn;
            end

            freqDiv = freqDiv + 1;
        end
    end
    assign enable = freqDiv == 7;
    assign ok = rxBuf == txBuf;
    assign parallelOut = txBuf;
endmodule"
check_ld_datain_not_tobuf,assert property (@(posedge clock) ld == 0 |-> txBuf != dataIn),26,FAIL,"module control(clock, reset, ld, dataIn, enable, parallelOut, parallelIn, shiftLoad, txEmpty, dataRdy, bitClock, ok);
    input clock;
    input reset;
    input ld;
    input [7:0] dataIn;
    output enable;
    output [7:0] parallelOut;
    input [7:0] parallelIn;
    output shiftLoad;
    input txEmpty;
    input dataRdy;
    input bitClock;
    output ok;
    reg [7:0] rxBuf;
    reg [7:0] txBuf;
    reg shiftLoad;
    reg [3:0] freqDiv;
    initial begin
        rxBuf = 8'b10000000;
        txBuf = 8'b00000001;
        shiftLoad = 1;
        freqDiv = 0;
    end
    always @(posedge clock) begin
        if (reset == 0) begin //
            shiftLoad = 1; 
            freqDiv = 0;
            if (ld == 1) begin //
                txBuf = dataIn; //
            end
        end else begin
            if (dataRdy == 1) begin
                rxBuf = parallelIn;
            end
            if (enable == 1 && txEmpty == 1) begin
                if (shiftLoad == 1) shiftLoad = 0;
                else shiftLoad = 1;
            end else if (ld == 1) begin
                txBuf = dataIn;
            end

            freqDiv = freqDiv + 1;
        end
    end
    assign enable = freqDiv == 7;
    assign ok = rxBuf == txBuf;
    assign parallelOut = txBuf;
endmodule"
check_dataRdy_not_parIn_to_rxBuf,assert property (@(posedge clock) dataRdy == 0 |-> rxBuf != parallelIn),30,FAIL,"module control(clock, reset, ld, dataIn, enable, parallelOut, parallelIn, shiftLoad, txEmpty, dataRdy, bitClock, ok);
    input clock;
    input reset;
    input ld;
    input [7:0] dataIn;
    output enable;
    output [7:0] parallelOut;
    input [7:0] parallelIn; //
    output shiftLoad;
    input txEmpty;
    input dataRdy; //
    input bitClock;
    output ok;
    reg [7:0] rxBuf; //
    reg [7:0] txBuf;
    reg shiftLoad;
    reg [3:0] freqDiv;
    initial begin
        rxBuf = 8'b10000000; //
        txBuf = 8'b00000001;
        shiftLoad = 1;
        freqDiv = 0;
    end
    always @(posedge clock) begin
        if (reset == 0) begin
            shiftLoad = 1;
            freqDiv = 0;
            if (ld == 1) begin
                txBuf = dataIn;
            end 
        end else begin
            if (dataRdy == 1) begin //
                rxBuf = parallelIn; //
            end
            if (enable == 1 && txEmpty == 1) begin
                if (shiftLoad == 1) shiftLoad = 0;
                else shiftLoad = 1;
            end else if (ld == 1) begin
                txBuf = dataIn;
            end

            freqDiv = freqDiv + 1;
        end
    end
    assign enable = freqDiv == 7;
    assign ok = rxBuf == txBuf;
    assign parallelOut = txBuf;
endmodule"
check_enable_txempty_not_shiftload_toggle,assert property (@(posedge clock) (enable == 0 && txEmpty == 1) |-> shiftLoad == $past(shiftLoad)),32,FAIL,"module control(clock, reset, ld, dataIn, enable, parallelOut, parallelIn, shiftLoad, txEmpty, dataRdy, bitClock, ok);
    input clock;
    input reset;
    input ld;
    input [7:0] dataIn;
    output enable; //
    output [7:0] parallelOut;
    input [7:0] parallelIn;
    output shiftLoad; //
    input txEmpty; //
    input dataRdy;
    input bitClock;
    output ok;
    reg [7:0] rxBuf;
    reg [7:0] txBuf;
    reg shiftLoad;
    reg [3:0] freqDiv;
    initial begin
        rxBuf = 8'b10000000;
        txBuf = 8'b00000001;
        shiftLoad = 1;
        freqDiv = 0;
    end
    always @(posedge clock) begin
        if (reset == 0) begin //
            shiftLoad = 1;
            freqDiv = 0;
            if (ld == 1) begin
                txBuf = dataIn;
            end
        end else begin
            if (dataRdy == 1) begin 
                rxBuf = parallelIn;
            end
            if (enable == 1 && txEmpty == 1) begin //
                if (shiftLoad == 1) shiftLoad = 0;
                else shiftLoad = 1;
            end else if (ld == 1) begin
                txBuf = dataIn;
            end

            freqDiv = freqDiv + 1;
        end
    end
    assign enable = freqDiv == 7;
    assign ok = rxBuf == txBuf;
    assign parallelOut = txBuf;
endmodule"
check_ld_not_datain_tobuf_again,assert property (@(posedge clock) ld == 0 |-> txBuf != dataIn),36,FAIL,"module control(clock, reset, ld, dataIn, enable, parallelOut, parallelIn, shiftLoad, txEmpty, dataRdy, bitClock, ok);
    input clock; //
    input reset;
    input ld; //
    input [7:0] dataIn; //
    output enable;
    output [7:0] parallelOut;
    input [7:0] parallelIn;
    output shiftLoad;
    input txEmpty;
    input dataRdy;
    input bitClock;
    output ok;
    reg [7:0] rxBuf;
    reg [7:0] txBuf; //
    reg shiftLoad;
    reg [3:0] freqDiv;
    initial begin
        rxBuf = 8'b10000000;
        txBuf = 8'b00000001; //
        shiftLoad = 1;
        freqDiv = 0;
    end
    always @(posedge clock) begin
        if (reset == 0) begin
            shiftLoad = 1;
            freqDiv = 0;
            if (ld == 1) begin
                txBuf = dataIn; //
            end
        end else begin
            if (dataRdy == 1) begin
                rxBuf = parallelIn;
            end
            if (enable == 1 && txEmpty == 1) begin
                if (shiftLoad == 1) shiftLoad = 0;
                else shiftLoad = 1;
            end else if (ld == 1) begin
                txBuf = dataIn; //
            end

            freqDiv = freqDiv + 1;
        end
    end
    assign enable = freqDiv == 7;
    assign ok = rxBuf == txBuf;
    assign parallelOut = txBuf; //
endmodule"
check_freqDiv_not_increment,assert property (@(posedge clock) $past(freqDiv) != freqDiv-1),38,FAIL,"module control(clock, reset, ld, dataIn, enable, parallelOut, parallelIn, shiftLoad, txEmpty, dataRdy, bitClock, ok);
    input clock; //
    input reset; //
    input ld;
    input [7:0] dataIn;
    output enable;
    output [7:0] parallelOut;
    input [7:0] parallelIn;
    output shiftLoad;
    input txEmpty;
    input dataRdy;
    input bitClock;
    output ok;
    reg [7:0] rxBuf;
    reg [7:0] txBuf;
    reg shiftLoad;
    reg [3:0] freqDiv; //
    initial begin
        rxBuf = 8'b10000000;
        txBuf = 8'b00000001;
        shiftLoad = 1;
        freqDiv = 0; //
    end
    always @(posedge clock) begin
        if (reset == 0) begin
            shiftLoad = 1;
            freqDiv = 0; //
            if (ld == 1) begin
                txBuf = dataIn;
            end
        end else begin
            if (dataRdy == 1) begin
                rxBuf = parallelIn;
            end
            if (enable == 1 && txEmpty == 1) begin
                if (shiftLoad == 1) shiftLoad = 0;
                else shiftLoad = 1;
            end else if (ld == 1) begin
                txBuf = dataIn;
            end

            freqDiv = freqDiv + 1; //
        end
    end
    assign enable = freqDiv == 7;
    assign ok = rxBuf == txBuf;
    assign parallelOut = txBuf;
endmodule"
check_ok_not_rxBuf_txBuf,assert property (@(posedge clock) !ok |-> rxBuf != txBuf),41,FAIL,"module control(clock, reset, ld, dataIn, enable, parallelOut, parallelIn, shiftLoad, txEmpty, dataRdy, bitClock, ok);
    input clock;
    input reset;
    input ld;
    input [7:0] dataIn;
    output enable;
    output [7:0] parallelOut;
    input [7:0] parallelIn;
    output shiftLoad;
    input txEmpty;
    input dataRdy;
    input bitClock;
    output ok; //
    reg [7:0] rxBuf; //
    reg [7:0] txBuf; //
    reg shiftLoad;
    reg [3:0] freqDiv;
    initial begin
        rxBuf = 8'b10000000; //
        txBuf = 8'b00000001; //
        shiftLoad = 1;
        freqDiv = 0;
    end
    always @(posedge clock) begin
        if (reset == 0) begin
            shiftLoad = 1;
            freqDiv = 0;
            if (ld == 1) begin
                txBuf = dataIn; //
            end
        end else begin
            if (dataRdy == 1) begin
                rxBuf = parallelIn; //
            end
            if (enable == 1 && txEmpty == 1) begin
                if (shiftLoad == 1) shiftLoad = 0;
                else shiftLoad = 1;
            end else if (ld == 1) begin
                txBuf = dataIn; //
            end
 
            freqDiv = freqDiv + 1;
        end
    end
    assign enable = freqDiv == 7;
    assign ok = rxBuf == txBuf; //
    assign parallelOut = txBuf;
endmodule"
check_parallelOut_not_txBuf,assert property (@(posedge clock) parallelOut != txBuf),42,FAIL,"module control(clock, reset, ld, dataIn, enable, parallelOut, parallelIn, shiftLoad, txEmpty, dataRdy, bitClock, ok);
    input clock; //
    input reset;
    input ld; //
    input [7:0] dataIn; //
    output enable;
    output [7:0] parallelOut; //
    input [7:0] parallelIn;
    output shiftLoad;
    input txEmpty;
    input dataRdy;
    input bitClock;
    output ok;
    reg [7:0] rxBuf;
    reg [7:0] txBuf; //
    reg shiftLoad;
    reg [3:0] freqDiv;
    initial begin
        rxBuf = 8'b10000000;
        txBuf = 8'b00000001; //
        shiftLoad = 1;
        freqDiv = 0;
    end
    always @(posedge clock) begin
        if (reset == 0) begin
            shiftLoad = 1;
            freqDiv = 0;
            if (ld == 1) begin
                txBuf = dataIn; //
            end
        end else begin
            if (dataRdy == 1) begin
                rxBuf = parallelIn;
            end
            if (enable == 1 && txEmpty == 1) begin
                if (shiftLoad == 1) shiftLoad = 0;
                else shiftLoad = 1;
            end else if (ld == 1) begin
                txBuf = dataIn; //
            end

            freqDiv = freqDiv + 1;
        end
    end
    assign enable = freqDiv == 7;
    assign ok = rxBuf == txBuf;
    assign parallelOut = txBuf; //
endmodule"
check_not_reset_shiftload,assert property (@(posedge clock) reset == 1 |-> shiftLoad != 1),23,PASS,"module control(clock, reset, ld, dataIn, enable, parallelOut, parallelIn, shiftLoad, txEmpty, dataRdy, bitClock, ok);
    input clock; //
    input reset; //
    input ld;
    input [7:0] dataIn;
    output enable;
    output [7:0] parallelOut;
    input [7:0] parallelIn;
    output shiftLoad; //
    input txEmpty;
    input dataRdy;
    input bitClock;
    output ok;
    reg [7:0] rxBuf;
    reg [7:0] txBuf;
    reg shiftLoad; //
    reg [3:0] freqDiv;
    initial begin
        rxBuf = 8'b10000000;
        txBuf = 8'b00000001;
        shiftLoad = 1; //
        freqDiv = 0;
    end 
    always @(posedge clock) begin
        if (reset == 0) begin
            shiftLoad = 1; //
            freqDiv = 0;
            if (ld == 1) begin
                txBuf = dataIn;
            end
        end else begin
            if (dataRdy == 1) begin
                rxBuf = parallelIn;
            end
            if (enable == 1 && txEmpty == 1) begin
                if (shiftLoad == 1) shiftLoad = 0; //
                else shiftLoad = 1; //
            end else if (ld == 1) begin
                txBuf = dataIn;
            end

            freqDiv = freqDiv + 1;
        end
    end
    assign enable = freqDiv == 7;
    assign ok = rxBuf == txBuf;
    assign parallelOut = txBuf;
endmodule"
check_not_reset_freqdiv,assert property (@(posedge clock) reset == 1 |-> freqDiv != 0),23,PASS,"module control(clock, reset, ld, dataIn, enable, parallelOut, parallelIn, shiftLoad, txEmpty, dataRdy, bitClock, ok);
    input clock;
    input reset; //
    input ld;
    input [7:0] dataIn;
    output enable;
    output [7:0] parallelOut;
    input [7:0] parallelIn;
    output shiftLoad;
    input txEmpty;
    input dataRdy;
    input bitClock;
    output ok;
    reg [7:0] rxBuf;
    reg [7:0] txBuf;
    reg shiftLoad;
    reg [3:0] freqDiv; //
    initial begin
        rxBuf = 8'b10000000;
        txBuf = 8'b00000001;
        shiftLoad = 1;
        freqDiv = 0;
    end  
    always @(posedge clock) begin
        if (reset == 0) begin
            shiftLoad = 1;
            freqDiv = 0;
            if (ld == 1) begin
                txBuf = dataIn;
            end
        end else begin
            if (dataRdy == 1) begin
                rxBuf = parallelIn;
            end
            if (enable == 1 && txEmpty == 1) begin
                if (shiftLoad == 1) shiftLoad = 0;
                else shiftLoad = 1;
            end else if (ld == 1) begin
                txBuf = dataIn;
            end

            freqDiv = freqDiv + 1; //
        end
    end
    assign enable = freqDiv == 7;
    assign ok = rxBuf == txBuf;
    assign parallelOut = txBuf;
endmodule"
